Category,Item,Serving Size,Weight (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Toppings,Spinach Small,1 slice = 1/6 pizza,2,0,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0
Toppings,Spinach Medium,1 slice = 1/8 pizza,2,0,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0
Toppings,Spinach Large,1 slice = 1/12 pizza,2,0,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0
Toppings,Parmesan,Per 1 Pizza,5,20,1,1,0.1,5,105,1,0,0,2,0,0,6,0
Toppings,Parmesan Small,1 slice = 1/6 pizza,2,5,0,0,0.0,2,32,0,0,0,0.5,0,0,2,0
Toppings,Parmesan Medium,1 slice = 1/8 pizza,2,10,1,0,0.0,3,48,0,0,0,0.8,0,0,3,0
Toppings,Parmesan Large,1 slice = 1/12 pizza,2,10,1,0,0.0,2,48,0,0,0,0.8,0,0,2,0
Toppings,Roasted Red Pepper,Per 1 Pizza,14,5,0,0,0,0,0,1,0,0,0.1,10,50,0,0
Toppings,Roasted Red Pepper Small,1 slice = 1/6 pizza,6,0,0,0,0.0,0,0,1,0,0,0.1,4,23,0,0
Toppings,Roasted Red Pepper Medium,1 slice = 1/8 pizza,7,5,0,0,0.0,0,0,1,0,0,0.1,5,29,0,0
Toppings,Roasted Red Pepper Large,1 slice = 1/12 pizza,7,5,0,0,0.0,0,0,1,0,0,0.1,5,28,0,0
Toppings,Garlic,Per 1 Pizza,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0
Toppings,Garlic Small,1 slice = 1/6 pizza,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
Toppings,Garlic Medium,1 slice = 1/8 pizza,2,5,0,0,0.0,0,0,1,0,0,0.0,0,0,0,0
Toppings,Garlic Large,1 slice = 1/12 pizza,3,5,0,0,0.0,0,0,1,0,0,0.0,0,0,0,0
Toppings,Old World Sauce,Per 1 Pizza,15,10,0.1,0,0,0,80,2,0,1,0.3,0,4,0,0
Toppings,Old World Sauce Small,1 slice = 1/6 pizza,8,5,0,0,0.0,0,42,1,0,1,0.2,0,3,0,0
Toppings,Old World Sauce Medium,1 slice = 1/8 pizza,12,10,0,0,0.0,0,65,2,0,1,0.3,1,4,0,0
Toppings,Old World Sauce Large,1 slice = 1/12 pizza,11,5,0,0,0.0,0,58,1,0,1,0.3,1,3,0,0
Toppings,Regular Sauce,Per 1 Pizza,15,10,0,0,0,0,75,2,0,1,0.3,2,4,0,0
Toppings,Regular Sauce Small,1 slice = 1/6 pizza,8,5,0,0,0.0,0,38,1,0,0,0.2,1,2,0,0
Toppings,Regular Sauce Medium,1 slice = 1/8 pizza,12,5,0,0,0.0,0,60,1,0,1,0.3,2,3,0,0
Toppings,Regular Sauce Large,1 slice = 1/12 pizza,11,5,0,0,0.0,0,53,1,0,1,0.2,2,2,0,0
Toppings,Pesto Sauce,Per 1 Pizza,9,35,3.5,0.5,0.1,0,90,0,0,0,1,2,2,2,2
Toppings,Pesto Sauce Small,1 slice = 1/6 pizza,3,10,1,0,0.0,0,32,0,0,0,0.2,1,1,1,0
Toppings,Pesto Sauce Medium,1 slice = 1/8 pizza,5,20,2,0,0.1,1,48,0,0,0,0.3,1,1,1,1
Toppings,Pesto Sauce Large,1 slice = 1/12 pizza,5,20,2,0,0.0,0,48,0,0,0,0.3,1,2,1,1
Toppings,Alfredo Sauce,Per 1 Pizza,15,20,1.5,0.4,0,0,80,1,0,0,0.2,0,0,0,0
Toppings,Alfredo Sauce Small,1 slice = 1/6 pizza,8,10,1,0,0.0,1,43,0,0,0,0.2,0,0,0,0
Toppings,Alfredo Sauce Medium,1 slice = 1/8 pizza,11,15,1,0,0.0,1,63,0,0,0,0.1,0,0,1,0
Toppings,Alfredo Sauce Large,1 slice = 1/12 pizza,10,15,1,0,0.0,1,56,0,0,0,0.1,0,0,1,0
Toppings,BBQ Sauce,Per 1 Pizza,16,30,0,0,0,0,220,7,0,6,0.2,0,2,0,2
Toppings,BBQ Sauce Small,1 slice = 1/6 pizza,8,15,0,0,0.0,0,103,3,0,3,0.1,0,1,0,0
Toppings,BBQ Sauce Medium,1 slice = 1/8 pizza,12,20,0,0,0.0,0,163,5,0,4,0.1,0,1,0,1
Toppings,BBQ Sauce Large,1 slice = 1/12 pizza,10,20,0,0,0.0,0,143,4,0,4,0.1,0,1,0,1
Appetizers,Breadstick,1 piece,46,190,10,1,0.1,0,150,22,1,0,4,0,0,0,50
Appetizers,Breadstick with Cheese,1 piece,58,230,12,3,0.2,10,200,22,1,0,7,0,0,8,50
Appetizers,Breadstick Sauce,dip cup,85,45,1,0,0.0,0,340,8,2,5,1,8,20,0,2
Appetizers,Garlic Bread,1 piece,40,120,5,5,0.0,0,230,17,1,1,3,0,0,2,8
Appetizers,Garlic Bread with Cheese,1 piece,64,190,10,5,0.2,20,400,15,1,1,11,2,0,20,8
Appetizers,Top Your Own Bruschetta,1/6 of order,101,260,13,3,0.2,10,520,28,1,2,8,4,8,10,15
Appetizers,Stuffed Pizza Rollers,1 roll,77,270,11,5,0,25,390,31,1,1,12,0,0,15,15
Appetizers,Poutine Bacon,1 order,621,1440,78,18,1,95,4290,147,12,1,34,0,6,50,25
Appetizers,Poutine Canadian,1 order,647,1440,78,18,1,95,4300,148,13,1,35,0,6,50,25
