Item Name,Source URL,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Potassium (mg),Calcium (% DV),Iron (% DV),Vitamin A (% DV),Vitamin C (% DV),Vitamin D (% DV),Contains Allergens,May Contain Allergens
Plain Bagel With Butter,https://www.mcdonalds.com/ca/en-ca/product/plain-bagel-with-butter.html,104 g,320 Cals,7 g,4.5 g,0.2 g,20 mg,370 mg,54 g,3 g,8 g,10 g,100 mg,2,17,11,,0,"Barley, Milk, Wheat",
Everything Bagel with Butter,https://www.mcdonalds.com/ca/en-ca/product/everything-bagel-with-butter.html,102 g,330 Cals,9 g,4.5 g,0.2 g,20 mg,340 mg,52 g,3 g,6 g,10 g,0 mg,2,19,11,,0,"Milk, Sesame Seeds, Wheat",
Sesame Bagel with Butter,https://www.mcdonalds.com/ca/en-ca/product/sesame-seed-bagel-with-butter-qc-only.html,103 g,330 Cals,9 g,4.5 g,0.2 g,20 mg,380 mg,54 g,3 g,7 g,10 g,0 mg,2,17,11,,0,"Barley, Milk, Sesame Seeds, Wheat",
Plain Bagel With Regular Cream Cheese Product,https://www.mcdonalds.com/ca/en-ca/product/plain-bagel-with-plain-cream-cheese.html,136 g,370 Cals,10 g,6 g,0.4 g,30 mg,490 mg,58 g,3 g,11 g,12 g,175 mg,6,17,11,,0,"Barley, Milk, Wheat",
Everything Bagel With Regular Cream Cheese Product,https://www.mcdonalds.com/ca/en-ca/product/everything-bagel-with-plain-cream-cheese.html,134 g,380 Cals,12 g,7 g,0.4 g,30 mg,460 mg,55 g,3 g,9 g,13 g,75 mg,6,19,11,,0,"Milk, Sesame Seeds, Wheat",
Sesame Bagel With Regular Cream Cheese Product,https://www.mcdonalds.com/ca/en-ca/product/sesame-seed-bagel-95g-with-plain-cream-cheese.html,135 g,380 Cals,11 g,6 g,0.4 g,30 mg,500 mg,57 g,3 g,10 g,13 g,75 mg,6,19,11,,0,"Barley, Milk, Sesame Seeds, Wheat",
Egg BLT Bagel with Plain Bagel,https://www.mcdonalds.com/ca/en-ca/product/egg-blt-with-plain-bagel.html,208 g,550 Cals,27 g,10 g,0.3 g,235 mg,860 mg,57 g,3 g,10 g,23 g,225 mg,4,22,17,,0,"Barley, Egg, Milk, Mustard, Wheat",
Egg BLT Bagel with Everything Bagel,https://www.mcdonalds.com/ca/en-ca/product/egg-blt-with-everything-bagel.html,206 g,560 Cals,29 g,10 g,0.4 g,235 mg,820 mg,55 g,3 g,8 g,23 g,125 mg,4,22,17,,0,"Egg, Milk, Mustard, Sesame Seeds, Wheat",
Sesame Egg BLT Bagel,https://www.mcdonalds.com/ca/en-ca/product/egg-blt-with-sesame-seed-bagel.html,207 g,570 Cals,28 g,10 g,0.3 g,235 mg,870 mg,57 g,3 g,9 g,23 g,125 mg,4,22,17,,0,"Barley, Egg, Milk, Mustard, Sesame Seeds, Wheat",
Bacon ‘N Egg Bagel with Plain Bagel,https://www.mcdonalds.com/ca/en-ca/product/bacon-n-egg-with-plain-bagel.html,186 g,540 Cals,24 g,11 g,0.4 g,240 mg,990 mg,57 g,3 g,9 g,25 g,175 mg,10,22,11,,0,"Barley, Egg, Milk, Soy, Wheat",
