Category,Product Name,Serving Size (g),Weight Per Slice (g),Serving Size,Calories (Cals),Protein (g),Carbs (g),Fibre (g),Sugars (g),Total Fat (g),Sat. Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (% DV),Calcium (% DV),Iron (% DV)
Donair,Donair Poutine Combo,,,,879,25,110,4,46,41,18,1,81,2247,,3%,14%
Donair,Small Donair Pizza,,,Per Slice,229,11,29,0,6,8,3,0,25,390,,9%,16%
Donair,Medium Donair Pizza,,,Per Slice,235,11,30,0,7,8,3,0,25,410,,9%,17%
Donair,Large Donair Pizza,,,Per Slice,269,7,42,0,7,9,4,0,14,414,,6%,19%
Donair,X-Large Donair Pizza,,,Per Slice,284,13,38,0,7,9,4,0,30,499,,11%,21%
Donair,Donair Dip,,,,,,,,,,,,,,,,
Loaded Tots,Plain tots with dip cup,341,Full Serving,,828,8,70,8,4,55,12,0,0,1497,,0,8%
Loaded Tots,Plain tots with dip cup,171,2 Servings per,,414,4,35,4,2,28,6,0,0,748,,0,4%
Loaded Tots,Plain tots with dip cup,114,3 Servings per,,276,3,23,3,1,18,4,0,0,499,,0,3%
Loaded Tots,Portion for snack box,241,Full Serving,,459,6,49,6,3,26,7,0,0,947,,0,6%
Loaded Tots,Poutine Loaded Tots,462,Full Serving,,756,21,67,6,4,46,20,1,55,2212,,0,8%
Loaded Tots,Poutine Loaded Tots,231,2 Servings per,,378,11,33,3,2,23,10,0,28,1106,,0,4%
Loaded Tots,Poutine Loaded Tots,154,3 Servings per,,252,7,22,2,1,15,7,0,18,737,,0,3%
Loaded Tots,Buffalo Popcorn Chicken and Cheese Tots,441,Full Serving,,1168,27,67,6,5,86,20,1,45,2220,,43%,7%
Loaded Tots,Buffalo Popcorn Chicken and Cheese Tots,221,2 Servings per,,584,13,34,3,2,43,10,0,23,1110,,22%,3%
Loaded Tots,Buffalo Popcorn Chicken and Cheese Tots,147,3 Servings per,,389,9,22,2,2,29,7,0,15,740,,14%,2%
Loaded Tots,Creamy Garlic and Cheese Tots,371,Full Serving,,1016,20,57,6,3,77,18,1,38,1663,,38%,6%
Loaded Tots,Creamy Garlic and Cheese Tots,185,2 Servings per,,508,10,29,3,2,38,9,0,19,831,,19%,3%
Loaded Tots,Creamy Garlic and Cheese Tots,124,3 Servings per,,339,7,19,2,1,26,6,0,13,554,,13%,2%
Loaded Tots,Smokey BBQ Bacon and Cheese Tots,406,Full Serving,,1132,20,62,6,16,80,21,16,38,1760,,42%,7%
Loaded Tots,Smokey BBQ Bacon and Cheese Tots,203,2 Servings per,,566,10,31,3,8,40,10,8,19,880,,21%,4%
Loaded Tots,Smokey BBQ Bacon and Cheese Tots,135,3 Servings per,,377,7,21,2,5,27,7,5,13,587,,14%,2%
Plant-Based Chicken,Plant-Based Chicken Sandwich,,,Per sandwich,760,17,54,7,3,55,8,0.2,0,1780,,25%,35%
Plant-Based Chicken,Spicy Plant-Based Chicken Sandwich,,,Per sandwich,680,17,55,7,4,46,7,0.2,0,1900,,25%,35%
Plant-Based Chicken,Plant-Based Buffalo Chicken Sandwich,,,Per sandwich,,,,,,,,,,,,,
Poutine,Classic Poutine,,,Per Poutine,600,18,63,4,2,32,14,0.7,55,1890,,,8%
Poutine,Popcorn Chicken Poutine,,,Per Poutine,720,25,72,5,3,38,15,0.7,65,1805,,,10%
Poutine,Bacon Poutine,,,Per Poutine,720,23,63,4,2,42,18,0.7,80,2190,,,8%
Poutine,Large Poutine,,,Per 1/2 poutine,465,105,55.5,4,1.5,22.5,7.75,0.4,27.5,1285,,1%,7%
Poutine,Large Popcorn Chicken Poutine,,,Per 1/2 poutine,525,14,60,4.5,2,25.5,8.25,0.4,32.5,1242.5,,1%,8%
Poutine,Large Bacon Poutine,,,Per 1/2 poutine,525,13,55.5,4,1.5,27.5,9.75,0.4,40,1435,,1%,7%
Poutine,Donair Poutine,,,Per Poutine,889,33,82,5,11,33,22,1,105,2815,,40%,21%
Poutine,Large Donair Poutine,,,Per 1/2 poutine,513,20,44,3,7,21,13,1,65,1573,,22%,14%
