Item Name,Source URL
Yogurt Tube,https://www.mcdonalds.com/ca/en-ca/product/strawberry-flavoured-yogurt-tube.html
Baked Apple Pie,https://www.mcdonalds.com/ca/en-ca/product/baked-apple-pie.html
Grilled Cheese Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/grilled-cheese-happy-meal.html
Lettuce and Tomato Snack Wrap Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/lettuce-and-tomato-snack-wrap-happy-meal.html
4 Chicken McNuggets Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/4-chicken-mcnuggets-happy-meal.html
Cheeseburger Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/hm-cheeseburger.html
Hamburger Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/hamburger-happy-meal.html
Chicken Snack Wrap Happy Meal with Crispy Chicken,https://www.mcdonalds.com/ca/en-ca/meal/snack-wrap-crispy-happy-meal.html
Chicken Snack Wrap Happy Meal with Grilled Chicken,https://www.mcdonalds.com/ca/en-ca/meal/snack-wrap-with-grilled-chicken-happy-meal.html
Hotcakes Happy Meal,https://www.mcdonalds.com/ca/en-ca/meal/hotcakes-happy-meal.html
Biscoff® McPops,https://www.mcdonalds.com/ca/en-ca/product/biscoff-mcpops.html
Berry McPops,https://www.mcdonalds.com/ca/en-ca/product/berry-mcpops.html
White Chocolate McPops,https://www.mcdonalds.com/ca/en-ca/product/white-chocolate-mcpops.html
Hazelnut & Cocoa McPops,https://www.mcdonalds.com/ca/en-ca/product/hazelnut-cocoa-mcpops.html
Fruit & Fibre Muffin,https://www.mcdonalds.com/ca/en-ca/product/fruit-fibre-muffin.html
Chocolate Brownie Muffin,https://www.mcdonalds.com/ca/en-ca/product/chocolate-brownie-muffin.html
Blueberry Muffin,https://www.mcdonalds.com/ca/en-ca/product/blueberry-muffin.html
Carrot Muffin,https://www.mcdonalds.com/ca/en-ca/product/carrot-muffin.html
Cranberry Orange Muffin,https://www.mcdonalds.com/ca/en-ca/product/cranberry-orange-muffin-201057.html
Chocolate Chip Muffin,https://www.mcdonalds.com/ca/en-ca/product/chocolate-chip-muffin.html
McVeggie,https://www.mcdonalds.com/ca/en-ca/product/mcveggie.html
Spicy McVeggie,https://www.mcdonalds.com/ca/en-ca/product/spicy-mcveggie.html
Filet-O-Fish,https://www.mcdonalds.com/ca/en-ca/product/filet-o-fish.html
Double Filet-O-Fish,https://www.mcdonalds.com/ca/en-ca/product/double-filet-o-fish.html
Chicken Snack Wrap Happy Meal with Grilled Chicken,https://www.mcdonalds.com/ca/en-ca/product/happy-meal-snack-wrap-grilled.html
Ramyeon McShaker Fries,https://www.mcdonalds.com/ca/en-ca/product/ramyeon-mcshaker-fries.html
Chewy Chocolate Chunk Cookie,https://www.mcdonalds.com/ca/en-ca/product/chewy-chocolate-chunk-cookie.html
Rainbow Sprinkle Cookie,https://www.mcdonalds.com/ca/en-ca/product/rainbow-sprinkle-cookie.html
Toasted S’mores Cookie,https://www.mcdonalds.com/ca/en-ca/product/toasted-smores-cookie.html
Apple Slices,https://www.mcdonalds.com/ca/en-ca/product/apple-slices.html
World Famous Fries,https://www.mcdonalds.com/ca/en-ca/product/french-fries-medium.html
Mini Fry,https://www.mcdonalds.com/ca/en-ca/product/mini-fry.html
Poutine,https://www.mcdonalds.com/ca/en-ca/product/poutine.html
